IP,ax,ay,az,gx,gy,gz
192.168.1.186,-0.511404,0.140264,-0.172766,0.002405,-0.017397,0.019167
192.168.1.192,-1.552080,0.348275,0.180386,0.016455,-0.005986,-0.022611
192.168.1.193,-1.028460,0.187746,-0.012728,-0.006848,-0.014131,-0.017783
192.168.1.194,0.465543,0.375344,-0.068462,0.021335,-0.037613,0.024443
192.168.1.195,-0.219723,0.318352,0.052332,0.002533,-0.018670,-0.004727
192.168.1.196,-1.363895,0.506098,-0.063195,-0.011091,-0.010380,-0.037070
192.168.1.197,-1.165490,0.072453,0.203203,-0.004327,-0.015099,-0.015558
192.168.1.198,-0.090044,-0.247309,0.083416,0.018339,-0.012543,-0.018804
192.168.1.199,-1.117228,0.167192,0.151881,0.021251,0.012646,-0.004866
192.168.1.200,0.160555,-0.284943333,0.970457,0.004101,0.063178,0.035695
192.168.1.201,-0.262559667,0.057474333,0.425516667,0.010922,0.013661333,0.00428
192.168.1.202,0.140829333,-0.540579667,0.034916,-0.00359,0.041664667,-0.009576667
192.168.1.203,-1.368195,0.359219,0.024117,-0.011094,-0.027824,-0.004568
192.168.1.204,-0.076409333,-0.220356,0.213397667,0.032550333,0.007171333,-0.015799667
192.168.1.205,0.316752,-0.285246667,1.018084,0.011276333,-0.005134333,-0.014394667
192.168.1.206,-0.040701333,-0.487897667,1.056170667,0.026682,0.034997667,0.013992667
192.168.1.207,-0.136295,-0.127178333,0.255136,0.010364667,0.012920667,-0.001060333
192.168.1.208,-0.384931,-0.362006333,0.268395,-0.021842333,-0.048865667,0.008138
192.168.1.209,-0.155762,-0.318172,0.914111,-0.014325667,0.022666333,-0.061983667
192.168.1.210,-0.344477,-0.230730667,0.635159333,0.047503667,0.021235333,-0.019966
192.168.1.211,-0.408053,-0.449477,0.890494667,0.017800333,0.007000667,0.004586
192.168.1.212,0.204468,-0.530796,0.708032333,0.002727667,0.00455,-0.016296667
192.168.1.213,-0.013982,0.116128,0.155626,0.002821,0.003667,-0.035553
192.168.1.214,-1.225194,0.107674,0.194366,-0.021482,0.002645,0.002164
192.168.1.215,0.050865,0.221784,0.033531,0.023423,-0.018134,0.034386
192.168.1.216,-0.031510,0.144045,0.227282,0.004837,0.005150,-0.014312
192.168.1.217,-1.320503,0.292212,0.086519,0.013773,-0.023961,-0.028579
192.168.1.218,-0.878023,0.333622,0.488252,0.004369,-0.006695,-0.018830
192.168.1.219,-1.095151,0.305756,0.129952,-0.027423,-0.016334,0.008598
192.168.1.220,0.12155,0.445885667,-0.100682667,0.014198667,-0.145848333,-0.030471
192.168.1.221,-0.390882,0.354112,-0.224437,-0.008565,-0.025384,0.017534
192.168.1.222,-1.702893333,0.171049,0.005165,0.037302333,0.004551,0.020802667
192.168.1.223,-0.255593333,0.778804333,0.027729667,0.035722667,-0.021212,0.012271333
192.168.1.224,-0.261248,0.274885,-0.118542,-0.007108,-0.017282,0.035410
192.168.1.225,-0.622870667,0.658998333,0.007239,-0.042475,-0.040682,0.033708667
192.168.1.226,-0.587765,-0.580082,1.365270,-0.009643,-0.08779,0.023991
192.168.1.235,-0.793110,-0.388210,0.163577,-0.02545,-0.008025,-0.032000
192.168.1.236,-1.274072,0.353968,0.164381,-0.019753,-0.006328,0.013003
192.168.1.237,-0.812633,-0.270638,0.162789,0.004206,-0.023744,-0.023335
192.168.1.238,0.819016,0.154290,-0.202308,-0.002655,-0.010439,0.021221
192.168.1.242,0.219790,0.347585,-0.037979,-0.019185,-0.002088,-0.000096
192.168.1.243,-1.347514,0.337848,0.534522,0.001011,-0.010437,-0.019928
192.168.1.244,-0.862729,0.341631,-0.010992,0.006381,0.003476,-0.001504
192.168.1.245,-0.262182,-0.086024,0.389173,0.006066,0.002910,-0.028204
192.168.1.246,1.087669,0.246555,-0.141210,-0.034450,-0.026396,0.018287
192.168.1.247,-0.212105,0.340376,-0.451341,-0.024768,-0.009180,-0.006896
192.168.1.248,-0.715265,0.300843,-0.231582,-0.017414,-0.015782,0.033375
192.168.1.249,0.465543,0.375344,-0.068462,0.021335,-0.037613,0.024443
192.168.1.112,-2.890398,0.365592,-0.102029,0.002644,0.000038,-0.026813
